k,frac_risco,frota_total,bases
1,0.9999999999999989,12,['Montijo (BA6)']
2,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
3,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
4,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
5,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
6,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
7,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
8,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
9,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
10,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
11,0.9999999999999989,13,"['Porto (Sá Carneiro)', 'Portimão']"
12,0.9999999999999989,11,"['Porto (Sá Carneiro)', 'Aveiro (S. Jacinto)', 'Braga', 'Monte Real (BA5)', 'Santa Cruz', 'Sintra (BA1)', 'Cascais (Tires)', 'Lisboa (H. Delgado)', 'Montijo (BA6)', 'Sines', 'Portimão', 'Faro']"
